registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-auditlogging-operator,3.25.3,sha256:56bf7df5b7ba7c772ebe2b908143eaec11eca22d5d0e4d355d28bc26b3a3c3c8,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.25.3-amd64,sha256:c4c81b5c4a4930254c96c1f8f52b6f19696a9c055bf5dd3702a43bbf5caa9881,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.25.3-ppc64le,sha256:aeeb5a820935ce3cbbb4aa4a284edc7d7fdf3fa6af1f77a18901d0be911037c7,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-auditlogging-operator,3.25.3-s390x,sha256:ef8dc8b1612004a29f80088752d04568d8cf73da67704b046031daed202bbd95,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13,sha256:23f4afb84a6772f1b19a7af17e1d7a35dbef7a83d3b7acd261ea25560b906c1d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-amd64,sha256:fef54532969f3b2da16ef70f3905cf7936a5b3af2f4a97cd3036a3084a3c81c6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-ppc64le,sha256:d5518a34dc78d24755157badd7f5cc8ddc28a2a1d90fce39ef2dfc558113bb20,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-s390x,sha256:51e75a0ab306acae44a72f886011593f37662f8abd9c9567ae295535d724cd6f,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-16,sha256:081d709e61083fc97ab4c5ddb87b41fdfb7744b9137a3a9c92b07b534fb0a5fa,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-16-amd64,sha256:54595789c6cc829e0b7bb94a460fa72c0057ee11c44c7df9bd0f73127e42d779,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-16-ppc64le,sha256:0913cc51afd11359d86ec371f2ed8e214ae14e16d8258311553a4588723b547d,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/fluentd,v1.14.5-bedrock-16-s390x,sha256:33ab07f760fe14acfba0ee86a1f6494edc2e15f47d629b7765ac5adca044711e,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.13,sha256:3989a1702d2b05936d86b0a601a7f22a8e0e82a6b2dc71955a40a2bdee20feab,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.13-amd64,sha256:86c04150fd02fcee556a897fc6563162754c89b0117772b78a4c2aa9348ed729,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.13-ppc64le,sha256:bf7348aa03528cbbbb559b3d7f3a0dbaee65f6880565f36efb60110ec074dd3c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-policy-controller,3.15.13-s390x,sha256:c2aea5d71078398e5b654808af252c7ffb0f993aa7fbad241a01ac987fb2a9ea,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.13,sha256:db432769fb4a4c646807c82a68bc27e10053b5d08122f276f302f5870093dcd5,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.13-amd64,sha256:5d41bd8983ed34844496f465631701e54cd5ce894127c9262983a23c1faa79a6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.13-ppc64le,sha256:422438a62bd33f1001931b670a8b9e71f667aef2389deadfa471ba49fbce7395,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-garbage-collector,1.10.13-s390x,sha256:fad348eb653c8b0fb0355bb22e48661cb01e495635e1a0dd16b20bb63ed84e1d,IMAGE,linux,s390x,"",0,CASE,"",""
