registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cert-manager-operator,3.25.3,sha256:1964566ee44409425cbf7162d2ef38cb53e466019f1119e6b05ed5a07ea7837a,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.25.3-amd64,sha256:46a29bdc0b7c683d07807360e646d0b89d040be56bf28e15912731de9c18adfd,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.25.3-ppc64le,sha256:877194be9b2f9f2034ce4e6ec32e9a0e5f73c3f6536729f9c84c1b8a64d52c2b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cert-manager-operator,3.25.3-s390x,sha256:6ac9685a1e07394f722ec3a80d68fadc76ec54a809585929439cd1d6526e2384,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.11.4-jetstack.1.11.1,sha256:1df779742d93cef2bcb97ffaf519e87cb546be341d5257b1621139d3bb45d640,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.11.4-jetstack.1.11.1-amd64,sha256:856d38939b153d6afa09f3118e1699a146b230321c6ace9f4114c1548db6d455,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.11.4-jetstack.1.11.1-ppc64le,sha256:7b6de4d367d40ecce5866c6fad57e60899413662886ba30169537aeaa3583864,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-controller,1.11.4-jetstack.1.11.1-s390x,sha256:78a5332398c58d55bcbde101cb41d1db9ea5be81e45f091f4db195b229e4d5bc,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.11.4-jetstack.1.11.1,sha256:37bd6ba5864e02de51d7394f6948bc75c52a1757478440644b0c02c36380ad80,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.11.4-jetstack.1.11.1-amd64,sha256:9dfca84cd506c8359634b6391da383449d5b5386621788e718c75a59c741df09,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.11.4-jetstack.1.11.1-ppc64le,sha256:1d545a80463b4f6217790fdc5a60a60807394acabbf1adf6d39e34b80664eb6c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-webhook,1.11.4-jetstack.1.11.1-s390x,sha256:b29239b27b437e97ce013232ec7f7b7936b58f8305c548352462c6a5412c4df8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.11.4-jetstack.1.11.1,sha256:1a94c44ae98e8c65dac0d5b7a39592e08c290dac837e0034f196ac13e14dbd89,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.11.4-jetstack.1.11.1-amd64,sha256:bff1876ea4f8ce7570a45f6cdcb9b8183a790a50637a53d48e4cf984ab2d028e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.11.4-jetstack.1.11.1-ppc64le,sha256:a268e4206aa5d583b1a4576f636eb6372c8ff6c17bcb9b6f4fc9d777590e6ab2,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-cainjector,1.11.4-jetstack.1.11.1-s390x,sha256:693c9e193c35b63835820b9ed4284f6f1317fef679bacb67d6ebca36c9dc06a5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.11.4-jetstack.1.11.1,sha256:2ca350a24ec91fe7b360c2411e6bc6933e9ba62645674f754cd11940670a14b9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.11.4-jetstack.1.11.1-amd64,sha256:09bca29b1f62f22037264992fdac534acee9d10feb400c33c7d23d3c00625bf8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.11.4-jetstack.1.11.1-ppc64le,sha256:36dc93fc39e49f4f2520efd55675f7a2cb4832641420fd311110a3cd833617ff,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-cert-manager-acmesolver,1.11.4-jetstack.1.11.1-s390x,sha256:5c3ce864d15746fc1f41edced722ed6e095eb19b17d439806cf1f9ef1a1125c4,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4,sha256:ce1a661f30bb6f2835bd30abfcda01204f7e0d39ef7d3566a16bb3e09a486859,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-amd64,sha256:790a85ad0c9f20b118cc017e75455b3ce0f0d14d49e279175f8212ee9afa211a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-ppc64le,sha256:7065ed8f328ce820433bbb2ddb1df916e3e5ba218f33685dd2ec700ae98b59c4,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-configmap-watcher,3.16.4-s390x,sha256:06e8ef825dcebb39f185d71f17a1a4b2d20bbd18bf380963c95445845b7392f5,IMAGE,linux,s390x,"",0,CASE,"",""
