registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-crossplane-operator,1.12.3,sha256:70aca489b78b4647be0eba9a277f5ea7d79e442e68ea1a45e73df851185be05b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.12.3-amd64,sha256:d4c2a4496213b99625ff21fa666ddb4fb67fef1810a73161728a2e722305dcf6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.12.3-ppc64le,sha256:5d88c637e5d92e679ff1c407075f8837c496bf4a65b8d04379dbe6abf017b32e,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-operator,1.12.3-s390x,sha256:e9f6152421127c101b22094c8906f3b018b8cf1007a6d6da9ee3dc0404e5cab8,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-crossplane-bedrock-shim-config,1.8.7,sha256:0425e413c7dde8b3a15313b3dc2fd7f56a2b5bbbbff67e42becd353b476829ca,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.12.3,sha256:ff333db159aa0029292e1a38b9f3ba7f8fa2f27b6296e571f1772d73f04b9d8c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.12.3-amd64,sha256:07927564a5f22b0a671528c846515505ed61c4dc431d1ec1f02b6bf0b023d8bb,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.12.3-ppc64le,sha256:85bc8e760052ddfffe87e82d3f1e0d9eb7b2f7b7d8f47ea6bfc6a3fae4a07f7f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-ibm-cloud-operator,1.12.3-s390x,sha256:866105e4333594c3cd7fd4a302c982a7cf5320efc29839bfab247326a53e360c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.12.3,sha256:f2f7c67f0c94dba0361cfc262dc5f9c591b4bcdfc9c30db061ce01270794b5e2,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.12.3-amd64,sha256:8cab5f0372a4bb99b19835207e48647d184df0df9e6c082ed0983e71b7665bc6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.12.3-ppc64le,sha256:25c1ff95c09f358b3f24728e85422222b11dd064794fe68b1feebffd8d6bb872,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-crossplane-provider-kubernetes-operator,1.12.3-s390x,sha256:ab05493ae042795212edd27b4d82e917386f97b2c1b042719081e88336e861c0,IMAGE,linux,s390x,"",0,CASE,"",""
