registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-healthcheck-operator,3.24.3,sha256:008c962ef9659b6a8089d3517a0de51237c7aa6fb36421f6e8e088e51282e402,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.24.3-amd64,sha256:f60d00bba4dabf2ca4808ba488a3408724b92a12b9803c46456c98325fa69839,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.24.3-ppc64le,sha256:978732d9a77f063b3fc96fc2fb73cbc65e3f3f72ce6fda41f65d5987dd245ce9,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-healthcheck-operator,3.24.3-s390x,sha256:8ae1ba26fd1517ab0a10e5623def18b977bf3cd39c3f2dd5aaf995ea7dc1ad29,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.14,sha256:1760315233cea6866743a7c47cf787ca6989a1d9e0db9dc5cbd8cf7cfd056abe,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.14-amd64,sha256:c6575073ed4dfbbfe82e2dff629f322dba852802780286bad2ae8fb4bcb6e26c,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.14-ppc64le,sha256:6d8dc2cdfc5277208c7554f2889f85448bac44026752a28f33b92044d1f36327,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/system-healthcheck-service,3.10.14-s390x,sha256:05ae35266a72abe2f72a6f0ca9742f212d1cf29265168dc211d3a2c3c447be58,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.14,sha256:6da96a3634825597f502268d78a603f07f8c8662b7c480a25e155386d183172d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.14-amd64,sha256:cb24d9a311aebb68beffd4d4d5e9d933598a4a477ef9be5b021bd583479669a0,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.14-ppc64le,sha256:ee2799d622dd2cdeaa8529090b584621a9e20c5d5b0a13b8786a1c9ca3c98d36,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-memcached,3.10.14-s390x,sha256:cded9f231c20d439e2db0805a82bbbfa2c1dc06c79c0ad704ca1755e3b75a5ed,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,latest,sha256:226eba88cfd256f9a6ca57c676b593885ea931a88e9d73bdf297c9283198218c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,latest-amd64,sha256:0bc9db4fe66a62a3136544e60a11474eb387cfe63534862b0bbc8e2d2698ff67,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,latest-ppc64le,sha256:d7e00ab67a55f415821551c7cbb86a7762c6c7b39107505f30420696e71a1609,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather,latest-s390x,sha256:0c5bbae2abc38d002c579be21e4e12588e788031dec2989c4571c930da7fa189,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.14,sha256:67adedc1777f609eb8ead2ec98ad3840488c77b56af7b8bb728cbbfb6e616cef,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.14-amd64,sha256:85e90c893faa400e4aecf9182cdfeb7b6d3a4478d55e72ddd321074233a4a2f4,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.14-ppc64le,sha256:f1057ad6f3d405cf3234f074c8f153e00355ced7097cafa98b1d7cdca0245fa2,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/must-gather-service,1.3.14-s390x,sha256:853dba9eeded072c41ee3c8c4f15fc190df5f9b71b209474bc5310ca4bfc0202,IMAGE,linux,s390x,"",0,CASE,"",""
