registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-iam-operator,3.23.3,sha256:bd60f89b81df4e84cb8f52da7136bfda94480ff158bfc90c20b475b6e881ac83,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.23.3-amd64,sha256:422762af0679b2d8ed143ba473c3a30cdca886dfb48319fccf2e40dc26703ffc,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.23.3-ppc64le,sha256:b9a9c5ee257d01625c6338699a3dcd4d589c92b207e8a1b8d8205b5f3daa0066,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-iam-operator,3.23.3-s390x,sha256:fce2b82a743e3db18133a089d139a7af29e933c4775ed7202dfcabe48025b392,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13,sha256:23f4afb84a6772f1b19a7af17e1d7a35dbef7a83d3b7acd261ea25560b906c1d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-amd64,sha256:fef54532969f3b2da16ef70f3905cf7936a5b3af2f4a97cd3036a3084a3c81c6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-ppc64le,sha256:d5518a34dc78d24755157badd7f5cc8ddc28a2a1d90fce39ef2dfc558113bb20,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-s390x,sha256:51e75a0ab306acae44a72f886011593f37662f8abd9c9567ae295535d724cd6f,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.11.3,sha256:97cecf8ffc6d2b60fb2ca2d2def292693d44326526a500a39f7d075dadf78cf4,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.11.3-amd64,sha256:c9442d3c8a56585a56bd90a06a78267e47ed42a847ea6c9f70ed5d4858320e63,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.11.3-ppc64le,sha256:584ee779265b8382879311c4d4ea99ba9afcd05124991166c71d9d42aeb72828,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-oidcclient-watcher,3.11.3-s390x,sha256:42c5c183af6afd63755ca4792d4f9aeef59836157d4804690249525d0ca9f3fe,IMAGE,linux,s390x,"",0,CASE,"",""
