registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-mongodb-operator,1.18.3,sha256:2ed54ef573e825ae0c4bf5c06c85fb6468b27991166487cec8605ce7b154a664,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.18.3-amd64,sha256:41908e70306e85d5e838afd87c71f24c3721ec783750108cb469a0bd4f204b55,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.18.3-ppc64le,sha256:3e0c9b1d0beb51e75386d535e730c9083fb73a319b3141e4d52fa361677d921b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-mongodb-operator,1.18.3-s390x,sha256:198e66c623668ef2e213969df77e91dc7fb71d2b70d140e255a470dd7e0405d5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.13-mongodb.4.0.24,sha256:8b2286ae9fd33487f4a2bc63c61a169e0c1eace4b4cb3ba517291d5a8ddf1e3b,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.13-mongodb.4.0.24-amd64,sha256:20230034e91bfeaca2f60e66af017664721b3fd144e812e9d3fa74aa0429f457,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.13-mongodb.4.0.24-ppc64le,sha256:638a50ef114d9f0ff5fea6b1bbe6a0606d397f959d0b8f0352e15d44f510f7d9,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb,3.19.13-mongodb.4.0.24-s390x,sha256:aa26afbe6ab01b0e726663934fe6a06b34e412878eb31e8a9ce9644d48eb7676,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.13,sha256:dac3ce4b15a993555abd9259aa834438039fd18fef598a4dcd519587ad93f6f0,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.13-amd64,sha256:0088b063aa30c047e96ad4b1b1b44b2837a9d720d0834d0a8cbb0d273e1a2aa6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.13-ppc64le,sha256:8eddbfc045a9c98b5d367f052d19dadd4249d5fe69332b551b80684d75616f48,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-install,3.19.13-s390x,sha256:a4decd04161fe92146169301390b6fb0af95be66e86302c988a0db09ae902152,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.13,sha256:95ee69c755660ba8c9cc124b97702d00b15d6a9fe86c4874809245b02ed81b9f,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.13-amd64,sha256:db8f5c736f416aae835d754c13438b6781d4093e225a8461055a27ec54f827d5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.13-ppc64le,sha256:ac9ee692db2bbf843256f4982990085485c5b4a5a6d5abfa0fbdfd8ad3693cda,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-mongodb-exporter,3.19.13-s390x,sha256:f2ac3523886cc940baf27c2cec50cff108d61b87bbae5e8465f657dfb71bfa29,IMAGE,linux,s390x,"",0,CASE,"",""
