registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-monitoring-grafana-operator,1.27.3,sha256:94181f841d523f98652a42fbae853ff5578bd2cb6df9439201faea0ba98eb053,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.27.3-amd64,sha256:68397f4a11c79990e6d704a9be4d8299d5aa3d01c3f7b3ec53e14430e33cbbbd,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.27.3-ppc64le,sha256:326e5e271513b2e516cd17f55365eae520bd61d0c1c097b5f89a9ee3a12c1d8d,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-monitoring-grafana-operator,1.27.3-s390x,sha256:3ad4b55ae88775efab139966359a440a0bf989d3f1c9c53856dd6902116188c4,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.10,sha256:efec05971a33ee0f3eafa359b3af5958d26adb7be22e1653eff63c4f69b5bf97,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.10-amd64,sha256:8d2cee7c5073c4155b755d0b72695668207dc0c54a5370752709e0f6480e9c25,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.10-ppc64le,sha256:042694e8f14646c40bf3122f5067051484d89d8b77acdb1512d4ada384b9f3b0,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana,v7.5.12-build.10-s390x,sha256:df60f58ac65ffe7d4da3b99fa26fd0de6e299007208425cf1a33771187aebadd,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11,sha256:2d30c1cf17e31432e2572c8d8f8bd4e9f0ba4f8659cdfec041977f398a699ed9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-amd64,sha256:291a187525bc120aacd723ea9f4ab721de4fdde452ddb387df6069e3557218bc,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-ppc64le,sha256:6525f17c2e2f64b8a0a51d4ada28a0fcd6b851a6ef957811672e63b8e895bf4a,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-s390x,sha256:f72cde952379a2651c30e435a7cad565935c99df53467ad797e42f76af64b4c2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.29,sha256:f817389fd80000ae986f01b6ff296ddc07076373bea784023fa7f1c5d03f0b23,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.29-amd64,sha256:1df4d49b742a0954d347d4305ab65438a468567747ee299675c84601ca285a20,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.29-ppc64le,sha256:34458eff001e71ea3883744ced8d34c3f592fdadf68c756b4f52e19cb085cf2f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/dashboard-controller,v1.2.2-build.29-s390x,sha256:9c10166e714bcd3062afcb6ca95a3f0ff7e082b10c3e7726c397acf2e6498bfd,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27,sha256:84702f503426266a4dc866dd6f384949bf6ebde85ac66f707e6e3f04e4f25312,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-amd64,sha256:31bcace7c5005dc12d619e600fd50af937ff7434e3b9e5b9dfcd7c1e8053dd5a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-ppc64le,sha256:1733f70aabbb6d014e379c43e45e63c727a4f84e6519efecd281da2dc85f8a7f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-s390x,sha256:fc7916ea98887a5ee36de450d983ccab3ccffa25971f71689dc73242f49c178d,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.30,sha256:37478742ecc413503e78705e95cb2914db6044c3bc11202a4639dc5486c3623c,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.30-amd64,sha256:45961620c3dd1fb5f9399c15f77be30749da48bfadee01d6273bdfe499e827a1,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.30-ppc64le,sha256:751525b824257493b5524fdd281a074bc91d8ce5cc753a1370bf6a2336c0001c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/grafana-ocpthanos-proxy,1.0.30-s390x,sha256:d1a492a522b3df7dc9d2d6d55e42457c55e1ac00a22af17c8b57d7b6a36bb466,IMAGE,linux,s390x,"",0,CASE,"",""
