registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/cpfs/ibm-license-service-reporter-ui,1.20.3,sha256:484b294984901a700be8c3205203eacda93aeb46aaef4364fd229c21e460ce7e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter-ui,1.20.3-amd64,sha256:6754b356cc5ee19233ff34966f6a3ff80905a1102bf011435a5c86ac96e26c4d,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter,1.20.3,sha256:f99d643d1f556bb7938ff2fec7072a374c025ce466a3b2f3d875a6d9ee65ce69,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-license-service-reporter,1.20.3-amd64,sha256:aee086c95ddbf8be3a48cbc5d8ac426b5e13f651d38f321ff38e5361c3800b7f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-postgresql,1.20.3,sha256:abfeb63ec230d375f0910d8e4ef6bdec1581af06cbaa641462ff040ee8375b45,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-postgresql,1.20.3-amd64,sha256:5477b1e068ebc6a83493877a553945d0f853813185707a1b45a023253dd9bdec,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.20.3,sha256:5ac33eb44ee21da2d8fdc3f3f75d976c55b9bce84c7a640073b8db7314ef9981,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.20.3-amd64,sha256:dbee3769de3d6c37708b0bc8ee39e332d3e9bada00f48d8b1e9e3b6f7d79821f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.20.3-ppc64le,sha256:faad21b9522fcc81fd62bacfe7bc3362514edd83986fc94cacf04957190bfd68,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing,1.20.3-s390x,sha256:b13ed89ec7d9742b1dad4498538aa947c807d44aa844b4fe17bf8e3c9b33b731,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.20.3,sha256:13e5e20080e21594cac717def0b61e31a634dd8dfe7838a0701b1bc00dd9ee53,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.20.3-amd64,sha256:9426de9452855379d699f72b757641611d74e5200c707e1a83119946a931fef5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.20.3-ppc64le,sha256:73bcc8b9ae2d37cf71fe94244d24755ffc4608074d3e84aa15a55ca633f53dc8,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-licensing-operator,1.20.3-s390x,sha256:72b9721e61319b091870d18f5ff65e04558478376c82e4f4b53bb414502ecb3a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing-usage,1.20.3,sha256:6549c91cca30e44bdf75ebdca79db22f506d51bd9466ae880a16945b1975a70e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/ibm-licensing-usage,1.20.3-amd64,sha256:ad274d60736f474a26600fa30ce4c86757659c92ed00d4241b1c6bac8810164a,IMAGE,linux,amd64,"",0,CASE,"",""
