registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-management-ingress-operator,1.20.3,sha256:e833b351a83fd5cda2f2d123cea0e79604da2b9bc24bc5dc18de84370fb4377e,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.20.3-amd64,sha256:0e56ba00b816a38cda0f09fd796d5dc1e5997d5bb1e7c9926f8a8dbe4144a65b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.20.3-ppc64le,sha256:63b34cdcc71256a7f5606eb929bf63ac211847299df2b5db53c4cc80a16c14b3,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-management-ingress-operator,1.20.3-s390x,sha256:48dd0fc60a64a51f425cd38132381fce82e406f9103cc794f7957fed1825cdaa,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11,sha256:2d30c1cf17e31432e2572c8d8f8bd4e9f0ba4f8659cdfec041977f398a699ed9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-amd64,sha256:291a187525bc120aacd723ea9f4ab721de4fdde452ddb387df6069e3557218bc,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-ppc64le,sha256:6525f17c2e2f64b8a0a51d4ada28a0fcd6b851a6ef957811672e63b8e895bf4a,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-management-ingress,2.6.11-s390x,sha256:f72cde952379a2651c30e435a7cad565935c99df53467ad797e42f76af64b4c2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.20.3,sha256:a8d6c5a87fdfaa7dd7ee41e46ee93a07304000e0340c2fa3f4e6fb6c175151eb,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.20.3-amd64,sha256:2d499f53f8416230cee6f1df03f5c42418f21010b38f2581c304d089bf631ead,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.20.3-ppc64le,sha256:fb614662a066c1da4c57fc11fcbb335737b37efc3d2036928e80489f3e62d784,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-ingress-nginx-operator,1.20.3-s390x,sha256:cf1b90580ee0c36cdcf8fcf7b4a2818a739dbf6ed48bdc4de69db8ef234af5ad,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.11,sha256:3cf961230a8a1680b8a36e25224379a2de1ef850a59b7b900002188874ee43e1,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.11-amd64,sha256:4a81a84b0e12c9d419646e6a7cec021878176c96e63a6a626922a5c8214ce41b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.11-ppc64le,sha256:9c50b891f131f0f5dcecd85b8dfe4e14ba92a8c24537abb97921abb7461c68f7,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/default-http-backend,2.6.11-s390x,sha256:de56e8ce734df6751c0ce3299387a3f2e62c79583e0f51ef4b276a7ccef436e5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/nginx-ingress-controller,2.6.11,sha256:505d73bc9e4b8a97fae6abdb86e5f87238e136d58ab6d611d9fb29cd9cda42b5,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/nginx-ingress-controller,2.6.11-amd64,sha256:1c5500c8241cf8e1cb4ee37b41623a85405168563a73be6fba6131d8b1ea0a72,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/nginx-ingress-controller,2.6.11-ppc64le,sha256:8f0a247a55d64fcef2f1746df71820ace38788809758aebe4cbc3c5f63663c13,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/nginx-ingress-controller,2.6.11-s390x,sha256:3408392364e0b206253f2510417c4b62e0de5d9abb3fe7f0182fc89ad31e8310,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11,sha256:0d56a1b0c4d1d116acd3963b0e8114129d260077c8ac8ece596c94d8cddfd262,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-amd64,sha256:0a77354ffb5eee8cec8dbca0beef9c0376b56f366ffc2166a5097f20e60fb9fe,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-ppc64le,sha256:9a2351145c6fcb87cf2f061eaf047565a8da73fa5d7dfdc14da116a43d222dc3,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-s390x,sha256:0fa1582bad3768b9167b012fb20024e270b113f618d9ba4feb52dbd62eb17f13,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27,sha256:84702f503426266a4dc866dd6f384949bf6ebde85ac66f707e6e3f04e4f25312,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-amd64,sha256:31bcace7c5005dc12d619e600fd50af937ff7434e3b9e5b9dfcd7c1e8053dd5a,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-ppc64le,sha256:1733f70aabbb6d014e379c43e45e63c727a4f84e6519efecd281da2dc85f8a7f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-initcontainer,1.0.8-build.27-s390x,sha256:fc7916ea98887a5ee36de450d983ccab3ccffa25971f71689dc73242f49c178d,IMAGE,linux,s390x,"",0,CASE,"",""
