registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-platform-api-operator,3.25.3,sha256:5fc8434597a26b17b5c53b6c04a2c279b44aa6d931ad1205b87c70b51a55b4e9,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-platform-api-operator,3.25.3-amd64,sha256:7cce49093b94187cba581de56279d3c9538513dcfd006b53bbddb1d726b9cfe0,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-platform-api-operator,3.25.3-ppc64le,sha256:6d7be718f245135280ede041b5d4584a94014340265f7ee7ff8fca1ebd5ddc90,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-platform-api-operator,3.25.3-s390x,sha256:a51e1c74f0a9e274c2b444d2a9eb1c603156667885f6cf946a9153e80906f0d2,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-api,3.23.3,sha256:f7e1197dcef3196412c0c5c236fbd26a7a71d06676ad55b1410ae1af9b884455,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-api,3.23.3-amd64,sha256:c142027fa84b1de20f69f10378a6fd5018ddd01dcc2e151ba8a2da30d21f1eb8,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-api,3.23.3-ppc64le,sha256:8ebe31eccb9c82c81f844e2cd4b30d893e3627596fd31dc12fccf7325f024616,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp-platform-api,3.23.3-s390x,sha256:07a3729a6f2775e18130c4ecab6b24285fc75a4c3595afd87aa819b4c0be964a,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13,sha256:23f4afb84a6772f1b19a7af17e1d7a35dbef7a83d3b7acd261ea25560b906c1d,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-amd64,sha256:fef54532969f3b2da16ef70f3905cf7936a5b3af2f4a97cd3036a3084a3c81c6,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-ppc64le,sha256:d5518a34dc78d24755157badd7f5cc8ddc28a2a1d90fce39ef2dfc558113bb20,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/audit-syslog-service,1.10.13-s390x,sha256:51e75a0ab306acae44a72f886011593f37662f8abd9c9567ae295535d724cd6f,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11,sha256:0d56a1b0c4d1d116acd3963b0e8114129d260077c8ac8ece596c94d8cddfd262,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-amd64,sha256:0a77354ffb5eee8cec8dbca0beef9c0376b56f366ffc2166a5097f20e60fb9fe,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-ppc64le,sha256:9a2351145c6fcb87cf2f061eaf047565a8da73fa5d7dfdc14da116a43d222dc3,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/kubectl,2.6.11-s390x,sha256:0fa1582bad3768b9167b012fb20024e270b113f618d9ba4feb52dbd62eb17f13,IMAGE,linux,s390x,"",0,CASE,"",""
