registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.8.4-21,sha256:7860f56dabc064805faf1259fe73cd30b7c124ba2adbe486866ac7fbe437dd49,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.8.4-21-amd64,sha256:52ced1b037c6d553ca2934d9473e8c3097ef4cc4efa488dacadd6c48b440ce5c,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.8.4-21-ppc64le,sha256:ac681f967c46a8addf31e193abf0911bbd821a94af7a6ccdf1a5caf6f9cda44f,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/privatecloud-usermgmt,4.8.4-21-s390x,sha256:0c224991eb91211ab5c1c5ad0698852139236b4fe95708f2617be0a8515191e5,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.8.4-21,sha256:ad3274e69449fe2021643eebb9207c1ebfd4cb11fc6eccbcdf8f8ee78637f5c1,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.8.4-21-amd64,sha256:1c2c199a7fe20f1908a806d680e0b46e71520005944bda049e7ca6a1014dfa67,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.8.4-21-ppc64le,sha256:a30692d2e0aa0e07a14aeaa07eccb410a60f824db15602e97fb525f7c1e9e026,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-metastoredb,4.8.4-21-s390x,sha256:e136c41bd88ed2f197e95b314bded1de9729498581edb916fb0dd61e4fe462db,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.8.4-21,sha256:00f3b730eadfc6543da3eb514d34366afbddbc255136e56a8013a99da415d956,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.8.4-21-amd64,sha256:d1d2d0c978506d341021e256f3611b262590860d4eb94dfefcfb62a8e51d395b,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.8.4-21-ppc64le,sha256:3a76b11dc75aa2af669a50c41c0e43978d8045a539e106843a85bfd13578936c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/influxdb,4.8.4-21-s390x,sha256:e756102d085d4ba86b11b8599c28b1fc185baffea402892c1a1fbd236f585c82,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.8.4-21,sha256:d3902bc8d96e3b623db9746839eb8bd2593e324cee3dcf63049bf2da03437bd5,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.8.4-21-amd64,sha256:6bbd23e510a5a41cf224697e57be7b0fb7c95fbc4896e8a461e686178e35cbbc,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.8.4-21-ppc64le,sha256:4cc21b6fd97d15cd86d9099776076ba6aa54df1c51d426563e8032d333e240ed,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-influxdb-relay,4.8.4-21-s390x,sha256:b1f6be87f8f5d92bc4ece06917dd7b1ef3c47ec5164c13544cf98a513ae0221c,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.8.4-21,sha256:b95903e73e67a9da058c1945c8829587ef013d5ad82441f669f3b44de7317868,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.8.4-21-amd64,sha256:76f76543ce820d533f749804fad9d84ef9bef7617bb63f636469b3a3c8ab1cda,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.8.4-21-ppc64le,sha256:0967fadd6ae0f8ddab8cf0cb277130c85ab20bdbabc93a4852f5d77f545ff05c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icp4data-nginx-repo,4.8.4-21-s390x,sha256:546a3b6687907437fb0d7ec79fad75a7b839e1c9ca134f1dc71574a1c7cce443,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.8.4-21,sha256:b6aa166b21666336e221528c6db0feefc5c7d2fa3e51ac222b27c153c53b47fc,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.8.4-21-amd64,sha256:968872e62bd12e88aec080484c251a63493af91a63f01927e23e140f63277142,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.8.4-21-ppc64le,sha256:9cb4e127fd94ef058cef976d6d7e4a0ef0cd5a043be6b632852f5523f0b4a410,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core,4.8.4-21-s390x,sha256:be9a898767cab8278fa319249c7da13c75ac38ef10629d613fa5100322203f67,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.8.4-21,sha256:20a21e7d180a6ab2fa2bf4aa2983dc5a4c2388460db0a991e82d6e644dedb291,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.8.4-21-amd64,sha256:8a6f7601847265d6606bbf83ca7d7a706d7582e8d6ef9790f71174b8b70b071f,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.8.4-21-ppc64le,sha256:55af04501ff58b2a9537b3d38fb9290ec3d6de016487764eecf9f97dc7e3250c,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/zen-core-api,4.8.4-21-s390x,sha256:0aaf9860b9e56c9b7d667663445d4cc10cd6574fd7b61138fc4e3d1fc0c2d191,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.8.4-21,sha256:d86f0a3d868d9a13ed9ac02d475a22dfe9685a790aabb91e9a19b84512f71d70,LIST,"","","",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.8.4-21-amd64,sha256:f92622fd5d07804abe190ab37589a7e6846077e047a6cd0e16388248333986fb,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.8.4-21-ppc64le,sha256:c90db2ef251b07c40a1878e92e6a32abee5063e9e41ba3bf9fc09a51918f9541,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/cpfs/icpd-requisite,4.8.4-21-s390x,sha256:51a5b210f28d35a0339d7ec4df5c76f550417f59aae39de1fc389584433b1ea5,IMAGE,linux,s390x,"",0,CASE,"",""
