registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cpd-scheduling-operator,1.12.0-20230427.000027.88408ec,sha256:165537e76689eeb0bb0c2d0379eb26db95760e53541aebc9d6ef4e9299e29927,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cpd-scheduling-operator,1.12.0-20230427.000027.88408ec-amd64,sha256:10f90fee2c172a22ab7b1f82efb8d15fe5c3c3cf8aa197250e720efcef3eb20e,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-scheduling-operator,1.12.0-20230427.000027.88408ec-ppc64le,sha256:9e8e52da81e9a3e28fe790a6481a333ee1779029f39161e762d7c59500b8e3ff,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-scheduling-operator-bundle,1.12.0-20230427.000027.88408ec,sha256:ce042c809aa1bb6baf4b4db808677d66b4fa7a5405c61eca0d6932420ac076c1,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-scheduler-operator-catalog,1.12.0-20230427.000027.88408ec,sha256:a6f91bb6d1b860fb42062f4944cd32f32f70933d9fb839290402047dfa623826,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-scheduler-operator-catalog,1.12.0-20230427.000027.88408ec-amd64,sha256:6571e8f083ebc83411709700e91160c4dd1c29bebb8b36da3f814f5cc9fe38aa,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-scheduler-operator-catalog,1.12.0-20230427.000027.88408ec-ppc64le,sha256:ebf6579f6cc53bdfb141c528b6b45ba99025e5bcca655bb83fd93d3d1914bb89,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-webhook,1.12.0-20230427.000011.a2c72c8,sha256:12e16f9dc0a7e4d94913103a5f52e4d6c8795f6ef4e4222151e9d5fe642815d0,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-webhook,1.12.0-20230427.000011.a2c72c8-amd64,sha256:df2fb8c07fc02ad081e600ce11490a2244f187fbcbace65d69e2d85c2b446506,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-webhook,1.12.0-20230427.000011.a2c72c8-ppc64le,sha256:2d03f03d3eb7401c69f9d4fd9052c006ec0ec99dc537ebd1b63cad69b3fa11e7,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-mutate-webhook,1.12.0-20230427.000011.a2c72c8,sha256:548763bd27ecbb4478a7170bd6bb3fab0c8a3fa71ebfc7bc4805be0e217b94f7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-mutate-webhook,1.12.0-20230427.000011.a2c72c8-amd64,sha256:15193170cfbd27d5b0c02ad835132be1553e8bc5b66e91714bb1e4a0cb146c18,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-mutate-webhook,1.12.0-20230427.000011.a2c72c8-ppc64le,sha256:764121b22e3ecc3c7d6c86b3438e753f836cdae39e38aa6ce519b9d3784fec83,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-metrics,1.12.0-20230427.000011.a2c72c8,sha256:36a007e81054b73f90e4f73e03a5afed204e0ba4abd2fc984bcce71983101815,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-metrics,1.12.0-20230427.000011.a2c72c8-amd64,sha256:0eca366767a942d0e41acf54c22b28e2e106886e74d86bb56d78b77166fe186d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-metrics,1.12.0-20230427.000011.a2c72c8-ppc64le,sha256:7bdbbfc8b4b502e2bd04a3fba699020013273567e520e59e90eb891c1085f298,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler,1.12.0-20230427.000011.f65d64d,sha256:6d54f17539cf629b9ee3360fa54ac30d1b2d94429fbd7bad648944f998407c21,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler,1.12.0-20230427.000011.f65d64d-amd64,sha256:9c40aef6139b15387a21ab71b1b36b86a8c7d69d27af36274f2e921a5020c5a1,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler,1.12.0-20230427.000011.f65d64d-ppc64le,sha256:0b0c8d35e096c74f0e85c5e53d6ed2674647462586047622b7202f9e179ef8a3,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-pjc,1.12.0-20230427.000011.f65d64d,sha256:008c361cb2306205fb310902f72b969ccbe7479120addda4734091db9e266d66,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-pjc,1.12.0-20230427.000011.f65d64d-amd64,sha256:969eb50ac8221ef8e6acbefc5761d3720f9b9b8bff0cc64f0a580c0f642e7137,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ibm-cpd-scheduler-pjc,1.12.0-20230427.000011.f65d64d-ppc64le,sha256:5623a584daec9122d232537935bff71036d5803cb29eadd074bcd625f0292e2d,IMAGE,linux,ppc64le,"",0,CASE,"",""
