registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cpd/event-logger-api,4.6.5.536,sha256:b0d32b3260beed50d12a7fdbd719df5ad872233e8ef51f28d5ae8b886e9331e4,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/event-logger-api,4.6.5.536-amd64,sha256:9116344133344424387679d04013d3ba7434d6379a7eaf6676cde58d9945cd6b,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/event-logger-api,4.6.5.536-ppc64le,sha256:b95f549d8774cf3f4a6fc08ccc1b60bdbad8e0a4714b62a6f6c1158532e865ae,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/event-logger-api,4.6.5.536-s390x,sha256:6ee9373d5565beb9083b57d7bd02a153d0c7fd95f7d646b19fdf4354fc62f5ca,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/wkc-init-container-ccs,2.0.133,sha256:b50502aee9d4ebadcc31fe5d2feef930914ed295944e9bc9f32436233adf2571,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wkc-init-container-ccs,2.0.133-amd64,sha256:d5cb9a5c0222bdf948f4f175f2ad7df40610adaa19baedc9f10c1d2496089bf4,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wkc-init-container-ccs,2.0.133-ppc64le,sha256:21bd215d7ddff53e6e4d646ff57c64845107cc712ca96f749d2e57d53070fd7f,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/wkc-init-container-ccs,2.0.133-s390x,sha256:dff2a168980d7fa9980afb68609b2d5b0fabfa0f2b6aad102f062b3f41ec811e,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/elasticsearch,7.10.2-430,sha256:2ad5f28847aa74e68b2209c19c22f79261062d63ae9d7b2fdad875b6c38ced54,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/elasticsearch,7.10.2-430-amd64,sha256:5bbc616bc3c84ed2ee1ab3ba2efce7f208f4a53f00240f9af5a616aec28a2a20,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/elasticsearch,7.10.2-430-ppc64le,sha256:e746d699ae36a70ecd09f62ae9e5526a2e32a579cf27d1c6d89ea2485f575c79,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/elasticsearch,7.10.2-430-s390x,sha256:1a1d718bb94bfb1508e42ce248947ffcdf65f46ed2d9f14c52306b2472da840b,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/redis,6.2.7-295-1,sha256:9e37bcb2ff3fe8abb1a0316ae0a576612f2238245c47e4d6ebd190480b304d2b,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/redis,6.2.7-295-1-amd64,sha256:631b347ec4e338f86c3170f79d38454ba73909245cf83e14e2845ce3b4e91f99,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/redis,6.2.7-295-1-ppc64le,sha256:65271fe09e62994f9d3131117c982026652dac8955158791ce151919689605fc,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/redis,6.2.7-295-1-s390x,sha256:3720b18b911da13e3dd7e9c6b5005f849cfcf28f990e6c35a9fbae7b30454e9b,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/dsx-requisite,v4.6.5.5,sha256:06bd6f4e8c49fca30a945dfe8ab1de930dcf9f0a44cc94bb60364741b154cd66,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/dsx-requisite,v4.6.5.5-amd64,sha256:b38969fb9b8fbd0a94796737b1591de95a3235049d515580c9873b69fe326d0d,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/dsx-requisite,v4.6.5.5-ppc64le,sha256:71f412b8614d0884d1962cf0aa687506787e4707eba9ae045d0e0a81990da715,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/dsx-requisite,v4.6.5.5-s390x,sha256:5392859c2c0d6a0b912ce5e51a1d1d626031cd1ef0d2c62e9dc7066b3004a74a,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataview,4.6.5.7,sha256:59a4580e14d45f78412cffdb15f52153abb1ee1550dcb459e2ba31704b384cfa,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataview,4.6.5.7-amd64,sha256:f0a502a1119ee076b2a67fb5be7a0345de3808ac89b3f1a3f4486ae11bee02dd,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataview,4.6.5.7-ppc64le,sha256:8d58be0dde3919e0e1bb83350bede93f12f2fdd3abc7f18bba288e8ea6f46fcc,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataview,4.6.5.7-s390x,sha256:066dc82b302c289da2766472167325998de102eb061f32189da94ea9fe051070,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/spaces,v.4.6.5.4,sha256:9cd9294e126066a0f944b44da630829f188431841388cd10b7220c54418e8712,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/spaces,v.4.6.5.4-amd64,sha256:1db1d0b3b7859eed6a18ac6e20bf23773bc4b0fb748ccea672f20b1f48da72cc,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/spaces,v.4.6.5.4-ppc64le,sha256:24bf38c52aa6529d7a452d94039965312655a47528adc64a07a18574582f1848,IMAGE,linux,ppc64le,"",0,CASE,"",""
