registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cpd/wdp-shaper,4.6.314,sha256:009a4d9a7400d331eda0e7a09eb7a125a7197ea9148cb92dea3d2f4ada922e3a,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-shaper,4.6.314-amd64,sha256:3960bfbf37bd8048c1539be1cd6dca2c18819249777ea5366bab0727aa8fea48,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-shaper,4.6.314-ppc64le,sha256:5e7d1b300cf66547ac1ac5ab55296a54bfbbf9bcf61776c70366e7c98f4a67c1,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-shaper,4.6.314-s390x,sha256:789ccd02ca552ad6ef23fcd0a20dbfeed9ae8e392cbeec0871c49285277de7d0,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataprep,4.6.315,sha256:a40ee71a06194bbc8a067e430713de804a30ef56dcc36f226cc1909a1593e30d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataprep,4.6.315-amd64,sha256:73efc8ebbb08bd0eddec03e13e96c057a3291c94a0911dc519af3e428f900256,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataprep,4.6.315-ppc64le,sha256:47b904245c5871d6264e4df69311805dd9206109597e512f07098311ccdd6ac3,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-dataprep,4.6.315-s390x,sha256:41e11de0845c9279b16a0c07533c24b0d579c058aa499289b02e249abe3863ee,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/shaper-server,4.6.1736,sha256:5a6cd56d54734b48e0386a72863bbf35dc32839480448ad796de9d38b771eccc,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/shaper-server,4.6.1736-amd64,sha256:440951a6545ad2b92d74e845df5ac1c97888f2470f5090c211ecdab93e029975,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/shaper-server,4.6.1736-ppc64le,sha256:a0a5c56f77e4f9baab8934bf76f7ed47af0532fa9c8b1b5b2fb1f834662c4d70,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/shaper-server,4.6.1736-s390x,sha256:90763fe034a1a9a4a88bbf73d238a158b537585bf2b50b349e19ffa0a8b0789e,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-datarefinery-operator,6.5.0-744,sha256:f45f9376e1b67f6a3479c1a4d9bac768b883e089a828b72f7cb14e68fff9132f,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cpd-datarefinery-operator,6.5.0-744-amd64,sha256:04f0b92eee912271d73fb0970f2b2e1d90407a33a0c38ad77ae63b4fcb6b98f4,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-datarefinery-operator,6.5.0-744-ppc64le,sha256:a670c38fd7c9635d29fc8271992fe05cb7831bcb2022180800fbcfc93b26854b,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-datarefinery-operator,6.5.0-744-s390x,sha256:7b9476d699ea11b46e0dfe4a94c75917ca91031c6d389411e0dd59c0723b2baf,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-datarefinery-operator-catalog,6.5.0-744,sha256:90a14beb84082fd65966a367b03f8268ef4569504d72d5828eab4367c99afc15,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-datarefinery-operator-catalog,6.5.0-744-amd64,sha256:6fc5aaa3c4549b31e8eabb0296d1cb8cc98d33e81063440808f3c0436389b927,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-datarefinery-operator-catalog,6.5.0-744-ppc64le,sha256:11b393c0fc7a3048a9ef02a3958e5e1397927e50587977fa34d3d1ee7260cb31,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-datarefinery-operator-catalog,6.5.0-744-s390x,sha256:cfcf03e6eecc0f5e324b8e0b42273a127b8eeeaa1955d549f50a4cda08540bd2,IMAGE,linux,s390x,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-datarefinery-operator-bundle,6.5.0-744,sha256:442a9309a25ca36349ae9c8279e33946c77220adcb9cecca65d2cdbd4954f1b8,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
