registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cpd/flow-api,3093,sha256:7230259c89c61c89ca3d706662c1a27b1f24df10d4cd347cd00bd033247ec841,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/flow-api,3093-amd64,sha256:07677f2868cb2331241de3abbe53d21eb1b11a28cb5737b696ef46c06c623deb,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/flow-api,3093-ppc64le,sha256:8a9df4eabadb929035efd3efca40051bdbf59c05d962320dff61d544bdacbee1,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/flow-ui,15346,sha256:f57884e428b945bafd2eb4a5d74056e971e0ae584609b57022f58f0f675386ac,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/flow-ui,15346-amd64,sha256:87bf086e1d9b652de41e9f6c2a3df0404dba24c3174a479a6d1ad314fe853084,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/flow-ui,15346-ppc64le,sha256:b48a6c2e7e2251d8b26dc61f31e69e87a362d1ff2d2e22529729c89d8da356d0,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/modeler-flow-api,1198,sha256:b5bb40058e45e01a6445dda6044d2ad51aa9a6de248229c408cce92472b507bc,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/modeler-flow-api,1198-amd64,sha256:fba44316abd20826b61d12bf91bfaa8dfea8e19d65e1b1e962ad9ce10c26dd9e,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/modeler-flow-api,1198-ppc64le,sha256:1c24be4b9581b1086a24d091a02d6acd58a87d8f741815b6c9bba5f556a81b18,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/flow-session,11922,sha256:88e088898c37a4d3a601af24feaa534643eda54bebf7c1e38a2343dbdf7ce3bf,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/flow-session,11922-amd64,sha256:eddb27e88dfe73cc2d8d2169237f8ebe82e9580b07ff8c03f599a7326b02aeb8,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/flow-session,11922-ppc64le,sha256:ed7ef52c037cab53522f334a0f8f359a5245b111071fe5fc636e59a7bc2850b8,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-spss-operator,6.5.0-2057,sha256:f4078632c333ade92252da6fcae45722073f15e42ed220a645f2566944937880,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cpd-spss-operator,6.5.0-2057-amd64,sha256:e91de7ea53fb9e235790e39c1074f798f139d454ce5deb899efa3acf4e936af5,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-spss-operator,6.5.0-2057-ppc64le,sha256:47b73136cd20b32c5506d9eab61a05bba503363ecc0692c2775b0fef0b10b923,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-spss-operator-bundle,6.5.0-2057,sha256:6ce55473405f6ad0a1e91599394947e35a96a806cf6fb6b1f5c9c8ac418c6245,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-spss-operator-catalog,6.5.0-2057,sha256:ad0fa33b897de3ec9b60bc33feeb11694634ff77f37702d5376990ec19c7bd54,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-spss-operator-catalog,6.5.0-2057-amd64,sha256:decccdd7f5105313f3def955d9f123a5a8e5faab15bef39b5eb1a6bce206c73a,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-spss-operator-catalog,6.5.0-2057-ppc64le,sha256:35a636ccd86c7acaabd43b0dd2e91c6bdb7af1d3f777776b9e97b19863409d4b,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
