registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cpd/environments-init-job,6.5.0010,sha256:a255e5f4935de97e4ffab029cd61addb9938942d1c7177f5bddcc7752784e7ab,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/environments-init-job,6.5.0010-amd64,sha256:6e91822385b8c7ab0beac1d5b8c4ab98b8cf67c65f5f9b790c45eebcd97d53d3,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/environments-init-job,6.5.0010-ppc64le,sha256:1346ce4bc4b119060809d9504fe99e33b5158788cb0dd33086fcc8a038d2a958,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/environments-init-job,6.5.0010-s390x,sha256:086078ffba73effa6ad22cc07869358a9605a7c356c8f4cc025c3f276df4d26c,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/jupyter-notebooks-converter,6.5.0010,sha256:e18febea2caac14d806fdc5f9e81549b27439388801154433a26f8b4e5974583,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/jupyter-notebooks-converter,6.5.0010-amd64,sha256:e196a3fc07e7f3f3097a60b89aa955afe304756ddace73b51e05d515ede7456b,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/jupyter-notebooks-converter,6.5.0010-ppc64le,sha256:24b9f7968a48ffc57763c488bdb02fe86e0a60f598c0a97d2a03bbd6ae181bc0,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/jupyter-notebooks-converter,6.5.0010-s390x,sha256:70bcbdab4509450017fc996eb4f8f519efe15e6549225fa3a65c9c979fcc7be9,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/model_viewer,4.6.351,sha256:8dc2b2c20c3fa96070a2d7b35d3cd94dc1f80ada1ba9b03c9d3ce34579855961,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/model_viewer,4.6.351-amd64,sha256:55f42f350eb69d883afdd372868de661543079cdfbf154f3b1341d14461fa0f7,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/model_viewer,4.6.351-ppc64le,sha256:9f929b78b5b3dcaf5bd455c7fe3fa496c786f63cb4342cd64ebe42e6c153bfd6,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/model_viewer,4.6.351-s390x,sha256:7ee32b7328d4dfaf5a81001a418ec7d87ef02042e00b727f348370b3c398fb48,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-notebooks-api,6.5.0010,sha256:f1524a85453d57269e381ac0461ae09de12bfb5285556c51a77d224b6ea85ff7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-notebooks-api,6.5.0010-amd64,sha256:98e732683abc72408e196a999cadd30d0ba00de8b432cf7c7aa62ae3e6260f26,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-notebooks-api,6.5.0010-ppc64le,sha256:06ed26eacaddefe47e1e2927b9f649f46e31216170337605ad588e1a572e96d2,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/wdp-notebooks-api,6.5.0010-s390x,sha256:ce3fc2aadbc114fca00f44ac2fb8d5c649b8c6e1593434b005c8cfb43367168d,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/ws-notebooks-ui,6.5.0010,sha256:4627ae31c14bb60d42627ed29fb524b8e2a2b6f5eb20d50635d3351cb062d0d4,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/ws-notebooks-ui,6.5.0010-amd64,sha256:5e92fb05c4e8ffdb8c92ab1cbdeaf5c9150907fb26840bb57d3a99829c027e15,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/ws-notebooks-ui,6.5.0010-ppc64le,sha256:97313d26a652f36bd0372be853bb754b7a07ee5506990a898d44d5495758e5b4,IMAGE,linux,ppc64le,"",0,CASE,"",""
cp.icr.io,cp/cpd/ws-notebooks-ui,6.5.0010-s390x,sha256:b2283147526cd1d402c98aa10f663fbc669ad4dca0bb827ae793afe2ba35d830,IMAGE,linux,s390x,"",0,CASE,"",""
cp.icr.io,cp/cpd/notebooks-job-manager,6.5.0010,sha256:31a79af1b72a70214785f2496edf7279287978381956bd1d09fc3c80e46ccfcc,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/notebooks-job-manager,6.5.0010-amd64,sha256:4bdeb43e266ac91ad899f53e4c288550e27276f87cb86c6b4b618d012f237c92,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/notebooks-job-manager,6.5.0010-ppc64le,sha256:9274e2a0e27505c7a4830d1ac2c2de18d3e2ea84ac10fc72c941783ad2436a5c,IMAGE,linux,ppc64le,"",0,CASE,"",""
