registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cpd/wslocal-init-nlp22.1,2.10.1,sha256:e54f2a28858a1fd6985481f54ed1d4dabd395cc8d7eb7be170d807296a15b49d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-nlp22.1,2.10.1-amd64,sha256:6c1413d31d21bfcc473ffcc42aeb0e09aeae73b0f7a96163bfa9dcb6b9533bec,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-nlp22.2,3.6.0,sha256:edb566423ed7de86443de0a6f398b5dd303b2428d39649ea3282a546fc4ad49c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-nlp22.2,3.6.0-amd64,sha256:3eafcf04a0981acf70b591077b8afc2bd98654355d03f1f59b1e00c304a670fe,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py310gpu,6.5.0012.2902,sha256:e1ea64c40fc05081b8ee9c4cb439716a916c746a28a73fae214a55c87587f8c3,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py310gpu,6.5.0012.2902-amd64,sha256:fcb283c3cf9cd6ef18601f8075c1322596a5bbe332b642ed098ff17f3c163bbf,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py310main,6.5.0012.2902,sha256:6a1917eb23d150cc28495caffbe2bd17591461640b04125fba0333bd7c3da488,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py310main,6.5.0012.2902-amd64,sha256:10c81f3841fe0bf3d8eea16c7dbdf130222ab2ef75625815c22acb28dca73a34,IMAGE,linux,amd64,"",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py39gpu,6.5.0012.2902,sha256:6a3bf73b98a9760c3cb2ba331094a9ea9690c0ad4eef7405ff9bad62a6474bf9,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/cpd/wslocal-init-py39gpu,6.5.0012.2902-amd64,sha256:4ba7308304356120163dd0cd4f9cf0bb3793a46a1132a7779e4cef18897a8ca3,IMAGE,linux,amd64,"",0,CASE,"",""
